"Account History - Account","Account History - ID","Account History - Next","Account History - Operation ID","Account History - Sequence","Additional Data - Fee Data - Amount","Additional Data - Fee Data -Asset","Additional Data - Transfer Data - Amount","Additional Data - Transfer Data - Asset","Block Data - Block Number","Block Data - Block Time","Block Data - Transaction ID","Operation History - Raw Operation","Operation History - Operation in Transaction","Operation History - Operation Result","Operation History - Transaction in Block","Operation Data - Virtual Operation","Operation Type"
1.2.888883,2.9.481614527,2.9.481614526,1.11.466122510,12,,,,,30471308,2018-09-13T16:28:15,738bde13ab335b1660bbe0e36e0ff950b2924760,,0,"[0,{}]",16,63470,2
1.2.888883,2.9.481613843,2.9.481613591,1.11.466121834,10,,,,,30471296,2018-09-13T16:27:39,8d593cd4129e436709b37dac915bd7cf63d70b75,,0,"[0,{}]",46,62794,4
1.2.888883,2.9.481613591,2.9.481611038,1.11.466121585,9,,,,,30471293,2018-09-13T16:27:30,0e9ae0762c3e112766173a684a0df072b3e80d3c,,0,"[0,{}]",38,62545,4
1.2.888883,2.9.481611038,2.9.481610557,1.11.466119067,8,,,,,30471256,2018-09-13T16:25:39,d2c204e9616313bbd95c091562a75a0f00cdeb00,,0,"[1,""1.7.192405676""]",0,60027,1
1.2.888883,2.9.481610557,2.9.478590336,1.11.466118591,7,,,,,30471246,2018-09-13T16:25:09,cb9c1649c4dd2b8d2bae7f5dc22907f4ae974406,,0,"[1,""1.8.100364""]",8,59551,3
1.2.888883,2.9.478590336,2.9.478583487,1.11.463159031,6,,,,,30414148,2018-09-11T16:41:27,b5e5af08560e593869038c26d2926462d6fc2eab,,0,"[1,""1.8.100364""]",13,49106,3
1.2.888883,2.9.478583487,2.9.478583056,1.11.463152318,5,,,,,30414015,2018-09-11T16:34:48,d901757cf9a47ffebf6bed955472857e7ae368f7,,0,"[0,{}]",20,42393,8
1.2.888883,2.9.478583056,2.9.478576843,1.11.463151892,4,,,,,30414006,2018-09-11T16:34:21,db71ae10b51c7d9cb45ddb8e6b914796aada8368,,0,"[0,{}]",25,41967,6
1.2.888883,2.9.478576843,2.9.478576729,1.11.463146046,3,,,,,30413890,2018-09-11T16:28:33,9de2b8f74b0e1d129e14a522478dfda40224b919,,0,"[0,{}]",5,36121,0
1.2.888883,2.9.478576729,2.9.186687350,1.11.463145934,2,,,,,30413888,2018-09-11T16:28:27,414906ccf34b566d51858a5d9f4377a2bed23cda,,0,"[0,{}]",1,36009,0
1.2.888883,2.9.186687350,2.9.0,1.11.177829040,1,,,,,26457233,2018-04-26T15:05:33,9ff738b1e4256299ac6dfb91f46dc9bc98910ee4,,0,"[1,""1.2.888883""]",10,62497,5
