"Account History - Account","Account History - ID","Account History - Next","Account History - Operation ID","Account History - Sequence","Additional Data - Fee Data - Amount","Additional Data - Fee Data -Asset","Additional Data - Transfer Data - Amount","Additional Data - Transfer Data - Asset","Block Data - Block Number","Block Data - Block Time","Block Data - Transaction ID","Operation History - Raw Operation","Operation History - Operation in Transaction","Operation History - Operation Result","Operation History - Transaction in Block","Operation Data - Virtual Operation","Operation Type"
1.2.131183,2.9.592261718,2.9.592261648,1.11.575011065,55548,,,,,32126232,2018-11-10T09:07:00,0808cd9fa54ee15367f910528c930fcefae3ed7d,,0,"[1,""1.8.94789""]",14,31310,3
1.2.131183,2.9.592261634,2.9.592261537,1.11.575010981,55545,,,,,32126231,2018-11-10T09:06:57,eae448b4cd4b65e146223ea6e94b1ab94486a727,,0,"[1,""1.8.94789""]",16,31226,3
1.2.131183,2.9.592261647,2.9.592261634,1.11.575010994,55546,,,,,32126231,2018-11-10T09:06:57,7221f4994a42e12778fa43071b4418d7a1498aaf,,0,"[1,""1.7.239862182""]",23,31239,1
1.2.131183,2.9.592261648,2.9.592261647,1.11.575010995,55547,,,,,32126231,2018-11-10T09:06:57,7221f4994a42e12778fa43071b4418d7a1498aaf,,0,"[0,{}]",23,31240,4
1.2.131183,2.9.592261537,2.9.592261464,1.11.575010885,55544,,,,,32126230,2018-11-10T09:06:54,c34646631233e9235b2b9953cd6fa6b8cf705144,,0,"[1,""1.8.94789""]",1,31130,3
1.2.131183,2.9.592261463,2.9.592261455,1.11.575010811,55542,,,,,32126229,2018-11-10T09:06:51,4079e5d55ef97ca3f4621c7458b62121e57163e7,,0,"[1,""1.7.239862117""]",13,31056,1
1.2.131183,2.9.592261455,2.9.592261299,1.11.575010803,55541,,,,,32126229,2018-11-10T09:06:51,b6459963f487965ef15a7caba9af9b6c8443533e,,0,"[1,""1.8.94789""]",8,31048,3
1.2.131183,2.9.592261464,2.9.592261463,1.11.575010812,55543,,,,,32126229,2018-11-10T09:06:51,4079e5d55ef97ca3f4621c7458b62121e57163e7,,0,"[0,{}]",13,31057,4
1.2.131183,2.9.592261295,2.9.592261215,1.11.575010643,55538,,,,,32126227,2018-11-10T09:06:45,be9083de1f4dad49e0275b37a58a2f280c4baffd,,0,"[1,""1.8.94789""]",10,30888,3
1.2.131183,2.9.592261298,2.9.592261295,1.11.575010646,55539,,,,,32126227,2018-11-10T09:06:45,69af1bae278d28eafa6af9462286b70e127a98ea,,0,"[1,""1.7.239862044""]",13,30891,1
1.2.131183,2.9.592261299,2.9.592261298,1.11.575010647,55540,,,,,32126227,2018-11-10T09:06:45,69af1bae278d28eafa6af9462286b70e127a98ea,,0,"[0,{}]",13,30892,4
1.2.131183,2.9.592261214,2.9.592261211,1.11.575010562,55536,,,,,32126226,2018-11-10T09:06:42,bde68409aa42bd468742ec780056a057196e9c94,,0,"[1,""1.7.239862009""]",5,30807,1
1.2.131183,2.9.592261198,2.9.592261197,1.11.575010546,55534,,,,,32126226,2018-11-10T09:06:42,2e3a10c6b637572e6e0de2d786e3a409de3bb720,,0,"[0,{}]",0,30791,4
1.2.131183,2.9.592261211,2.9.592261198,1.11.575010559,55535,,,,,32126226,2018-11-10T09:06:42,cd6f6b2c093fceeaf29732e30b78a15c1b4974f8,,0,"[1,""1.8.94789""]",2,30804,3
1.2.131183,2.9.592261215,2.9.592261214,1.11.575010563,55537,,,,,32126226,2018-11-10T09:06:42,bde68409aa42bd468742ec780056a057196e9c94,,0,"[0,{}]",5,30808,4
1.2.131183,2.9.592261197,2.9.592261131,1.11.575010545,55533,,,,,32126226,2018-11-10T09:06:42,2e3a10c6b637572e6e0de2d786e3a409de3bb720,,0,"[1,""1.7.239862004""]",0,30790,1
1.2.131183,2.9.592261131,2.9.592256793,1.11.575010479,55532,,,,,32126225,2018-11-10T09:06:39,af7f2a50906bf8cedd354717bfdef3dee6693a89,,0,"[1,""1.8.94789""]",4,30724,3
1.2.131183,2.9.592256793,2.9.592256662,1.11.575006187,55531,,,,,32126171,2018-11-10T09:03:57,45df9dd30896087e3e7d9e6918ca5747583311ca,,0,"[1,""1.8.94789""]",7,26432,3
1.2.131183,2.9.592256662,2.9.592256661,1.11.575006061,55530,,,,,32126169,2018-11-10T09:03:51,5473b525641d0aba0a8d307e5a5d26eb9d63f685,,0,"[0,{}]",49,26306,4
1.2.131183,2.9.592256654,2.9.592255891,1.11.575006053,55528,,,,,32126169,2018-11-10T09:03:51,c3badaa747dd93b86a48c1f3970bcf57d2c20d31,,0,"[1,""1.8.94789""]",42,26298,3
1.2.131183,2.9.592256661,2.9.592256654,1.11.575006060,55529,,,,,32126169,2018-11-10T09:03:51,5473b525641d0aba0a8d307e5a5d26eb9d63f685,,0,"[1,""1.7.239860127""]",49,26305,1
1.2.131183,2.9.592255891,2.9.592255836,1.11.575005302,55527,,,,,32126158,2018-11-10T09:03:18,c5b69cd2a8abcccd87492c5d34423d47f5f04aaf,,0,"[1,""1.8.94789""]",42,25547,3
1.2.131183,2.9.592255831,2.9.592254647,1.11.575005242,55524,,,,,32126157,2018-11-10T09:03:15,9683e867ebc3ffffbffe83d2d98c410721363c9c,,0,"[1,""1.8.94789""]",60,25487,3
1.2.131183,2.9.592255835,2.9.592255831,1.11.575005246,55525,,,,,32126157,2018-11-10T09:03:15,bb5894338fe3da67787c7124374c1faca799a19f,,0,"[1,""1.7.239859791""]",64,25491,1
1.2.131183,2.9.592255836,2.9.592255835,1.11.575005247,55526,,,,,32126157,2018-11-10T09:03:15,bb5894338fe3da67787c7124374c1faca799a19f,,0,"[0,{}]",64,25492,4
1.2.131183,2.9.592254647,2.9.592254600,1.11.575004070,55523,,,,,32126144,2018-11-10T09:02:36,d1514c6b558347d909d42231397444c6de1fddd9,,0,"[1,""1.8.94789""]",21,24315,3
1.2.131183,2.9.592254588,2.9.592251435,1.11.575004011,55520,,,,,32126143,2018-11-10T09:02:33,5ece9c9305fdd76d9c0128b8162e907b3d0d19ee,,0,"[1,""1.8.94789""]",15,24256,3
1.2.131183,2.9.592254599,2.9.592254588,1.11.575004022,55521,,,,,32126143,2018-11-10T09:02:33,12e3cea966b26b7352697fb47a373b91c3776d3d,,0,"[1,""1.7.239859282""]",26,24267,1
1.2.131183,2.9.592254600,2.9.592254599,1.11.575004023,55522,,,,,32126143,2018-11-10T09:02:33,12e3cea966b26b7352697fb47a373b91c3776d3d,,0,"[0,{}]",26,24268,4
1.2.131183,2.9.592251435,2.9.592251349,1.11.575000918,55519,,,,,32126102,2018-11-10T09:00:30,8e168614edce5dfe7b70cf7e87d31e73e472da9c,,0,"[1,""1.8.94789""]",39,21163,3
1.2.131183,2.9.592251348,2.9.592251347,1.11.575000832,55517,,,,,32126101,2018-11-10T09:00:27,464b21085a8c22a094b3f777822247521e44c2a9,,0,"[1,""1.7.239857984""]",35,21077,1
1.2.131183,2.9.592251347,2.9.592251264,1.11.575000831,55516,,,,,32126101,2018-11-10T09:00:27,7da8276429101f57657dfdada3f3321990be6fd8,,0,"[1,""1.8.94789""]",34,21076,3
1.2.131183,2.9.592251349,2.9.592251348,1.11.575000833,55518,,,,,32126101,2018-11-10T09:00:27,464b21085a8c22a094b3f777822247521e44c2a9,,0,"[0,{}]",35,21078,4
1.2.131183,2.9.592251256,2.9.592251162,1.11.575000743,55512,,,,,32126100,2018-11-10T09:00:24,45cb3a442b02c512c75aa869a94e5bcfef46ae22,,0,"[1,""1.8.94789""]",28,20988,3
1.2.131183,2.9.592251264,2.9.592251261,1.11.575000751,55515,,,,,32126100,2018-11-10T09:00:24,198b8c858f700336854ff52cb5686c950657e23b,,0,"[0,{}]",30,20996,4
1.2.131183,2.9.592251260,2.9.592251256,1.11.575000747,55513,,,,,32126100,2018-11-10T09:00:24,198b8c858f700336854ff52cb5686c950657e23b,,0,"[1,""1.7.239857953""]",30,20992,1
1.2.131183,2.9.592251261,2.9.592251260,1.11.575000748,55514,,,,,32126100,2018-11-10T09:00:24,198b8c858f700336854ff52cb5686c950657e23b,,0,"[0,{}]",30,20993,4
1.2.131183,2.9.592251161,2.9.592251158,1.11.575000648,55510,,,,,32126099,2018-11-10T09:00:21,c2cc6469bafdaa69d12d2c03b45fdaad7585b663,,0,"[1,""1.7.239857924""]",33,20893,1
1.2.131183,2.9.592251162,2.9.592251161,1.11.575000649,55511,,,,,32126099,2018-11-10T09:00:21,c2cc6469bafdaa69d12d2c03b45fdaad7585b663,,0,"[0,{}]",33,20894,4
1.2.131183,2.9.592251158,2.9.592251083,1.11.575000645,55509,,,,,32126099,2018-11-10T09:00:21,95590919d109876dcce86b205378113250ca81ff,,0,"[1,""1.8.94789""]",30,20890,3
1.2.131183,2.9.592251082,2.9.592251071,1.11.575000570,55507,,,,,32126098,2018-11-10T09:00:18,fd8045e6851038cdb5cd9876cd76d1ef330d38db,,0,"[1,""1.7.239857901""]",34,20815,1
1.2.131183,2.9.592251083,2.9.592251082,1.11.575000571,55508,,,,,32126098,2018-11-10T09:00:18,fd8045e6851038cdb5cd9876cd76d1ef330d38db,,0,"[0,{}]",34,20816,4
1.2.131183,2.9.592251071,2.9.592251011,1.11.575000559,55506,,,,,32126098,2018-11-10T09:00:18,3b2d07b7d56d04882ffdca14028bb5df2c2ddd2c,,0,"[1,""1.8.94789""]",26,20804,3
1.2.131183,2.9.592251011,2.9.592251009,1.11.575000500,55505,,,,,32126097,2018-11-10T09:00:15,df5c4ccb70591f23fbd8598c265571384fb6c150,,0,"[0,{}]",38,20745,4
1.2.131183,2.9.592250984,2.9.592224758,1.11.575000473,55502,,,,,32126097,2018-11-10T09:00:15,7492c144d5e8c929304eb44442f1d4e06cab7081,,0,"[1,""1.8.94789""]",25,20718,3
1.2.131183,2.9.592251009,2.9.592251008,1.11.575000498,55504,,,,,32126097,2018-11-10T09:00:15,df5c4ccb70591f23fbd8598c265571384fb6c150,,0,"[0,{}]",38,20743,4
1.2.131183,2.9.592251008,2.9.592250984,1.11.575000497,55503,,,,,32126097,2018-11-10T09:00:15,df5c4ccb70591f23fbd8598c265571384fb6c150,,0,"[1,""1.7.239857880""]",38,20742,1
1.2.131183,2.9.592224758,2.9.592224681,1.11.574974561,55501,,,,,32125793,2018-11-10T08:44:54,1a2f349dacba9b90b2621428d5b70e52d246fd35,,0,"[1,""1.8.94789""]",35,60342,3
1.2.131183,2.9.592224680,2.9.592224671,1.11.574974483,55499,,,,,32125792,2018-11-10T08:44:51,05683066c0a4be23bead5a2bad1d45b2d7bc1406,,0,"[1,""1.7.239846978""]",28,60264,1
1.2.131183,2.9.592224671,2.9.592224607,1.11.574974474,55498,,,,,32125792,2018-11-10T08:44:51,e2a9a33b7b2eadca073b624744927839128508c6,,0,"[1,""1.8.94789""]",24,60255,3
1.2.131183,2.9.592224681,2.9.592224680,1.11.574974484,55500,,,,,32125792,2018-11-10T08:44:51,05683066c0a4be23bead5a2bad1d45b2d7bc1406,,0,"[0,{}]",28,60265,4
1.2.131183,2.9.592224602,2.9.592224532,1.11.574974406,55495,,,,,32125791,2018-11-10T08:44:48,1e474a24f1f3937ba8349a31dc8d14cebd3891c7,,0,"[1,""1.8.94789""]",33,60187,3
1.2.131183,2.9.592224606,2.9.592224602,1.11.574974410,55496,,,,,32125791,2018-11-10T08:44:48,85c2eeb61803f835f3404dc21827c9cbd430c56d,,0,"[1,""1.7.239846949""]",37,60191,1
1.2.131183,2.9.592224607,2.9.592224606,1.11.574974411,55497,,,,,32125791,2018-11-10T08:44:48,85c2eeb61803f835f3404dc21827c9cbd430c56d,,0,"[0,{}]",37,60192,4
1.2.131183,2.9.592224527,2.9.592224525,1.11.574974333,55491,,,,,32125790,2018-11-10T08:44:45,6b0f983fdea97f4becc8f20580d33fa43e8468e4,,0,"[1,""1.7.239846907""]",32,60114,1
1.2.131183,2.9.592224530,2.9.592224528,1.11.574974336,55493,,,,,32125790,2018-11-10T08:44:45,6b0f983fdea97f4becc8f20580d33fa43e8468e4,,0,"[0,{}]",32,60117,4
1.2.131183,2.9.592224525,2.9.592224468,1.11.574974331,55490,,,,,32125790,2018-11-10T08:44:45,b206c204293a2657705d2b406cc1749f817575f7,,0,"[1,""1.8.94789""]",30,60112,3
1.2.131183,2.9.592224528,2.9.592224527,1.11.574974334,55492,,,,,32125790,2018-11-10T08:44:45,6b0f983fdea97f4becc8f20580d33fa43e8468e4,,0,"[0,{}]",32,60115,4
1.2.131183,2.9.592224532,2.9.592224530,1.11.574974338,55494,,,,,32125790,2018-11-10T08:44:45,6b0f983fdea97f4becc8f20580d33fa43e8468e4,,0,"[0,{}]",32,60119,4
1.2.131183,2.9.592224460,2.9.592224309,1.11.574974266,55486,,,,,32125789,2018-11-10T08:44:42,5d81c33823b837cd545a5f5663d5d0c55e5cac88,,0,"[1,""1.8.94789""]",31,60047,3
1.2.131183,2.9.592224468,2.9.592224465,1.11.574974274,55489,,,,,32125789,2018-11-10T08:44:42,675d9282005f79811a4269ffc2af6d8214f45574,,0,"[0,{}]",35,60055,4
1.2.131183,2.9.592224464,2.9.592224460,1.11.574974270,55487,,,,,32125789,2018-11-10T08:44:42,675d9282005f79811a4269ffc2af6d8214f45574,,0,"[1,""1.7.239846875""]",35,60051,1
1.2.131183,2.9.592224465,2.9.592224464,1.11.574974271,55488,,,,,32125789,2018-11-10T08:44:42,675d9282005f79811a4269ffc2af6d8214f45574,,0,"[0,{}]",35,60052,4
1.2.131183,2.9.592224309,2.9.592224200,1.11.574974115,55485,,,,,32125787,2018-11-10T08:44:36,524e574ae1840737883137baf787ff7412fb636b,,0,"[1,""1.8.94789""]",26,59896,3
1.2.131183,2.9.592224200,2.9.592224199,1.11.574974006,55484,,,,,32125786,2018-11-10T08:44:33,5e47e43ef33a69167126970866c1dd12068013d8,,0,"[0,{}]",23,59787,4
1.2.131183,2.9.592224199,2.9.592224193,1.11.574974005,55483,,,,,32125786,2018-11-10T08:44:33,5e47e43ef33a69167126970866c1dd12068013d8,,0,"[1,""1.7.239846776""]",23,59786,1
1.2.131183,2.9.592224193,2.9.592223239,1.11.574973999,55482,,,,,32125786,2018-11-10T08:44:33,f5fe1a5a20d404f9b8c38de134f3792be66c5475,,0,"[1,""1.8.94789""]",19,59780,3
1.2.131183,2.9.592223239,2.9.592223170,1.11.574973055,55481,,,,,32125775,2018-11-10T08:44:00,2b55b35fb07f242bba973553d516cfda7389de5c,,0,"[1,""1.8.94789""]",3,58836,3
1.2.131183,2.9.592223170,2.9.592223169,1.11.574972987,55480,,,,,32125774,2018-11-10T08:43:57,a99cde007110bada751d549ab68c888a003b9c5d,,0,"[0,{}]",7,58768,4
1.2.131183,2.9.592223169,2.9.592223167,1.11.574972986,55479,,,,,32125774,2018-11-10T08:43:57,a99cde007110bada751d549ab68c888a003b9c5d,,0,"[1,""1.7.239846338""]",7,58767,1
1.2.131183,2.9.592223167,2.9.592223104,1.11.574972984,55478,,,,,32125774,2018-11-10T08:43:57,fddb7be1afa74d664078bc8606208bfb72c6164f,,0,"[1,""1.8.94789""]",5,58765,3
1.2.131183,2.9.592223104,2.9.592223103,1.11.574972921,55477,,,,,32125773,2018-11-10T08:43:54,79ceee2d40a0193ba8ed44fda0fd8119f1556b19,,0,"[0,{}]",9,58702,4
1.2.131183,2.9.592223093,2.9.592223030,1.11.574972910,55475,,,,,32125773,2018-11-10T08:43:54,b285b8e7fd19bbba40d4bebec7371730f06ea532,,0,"[1,""1.8.94789""]",1,58691,3
1.2.131183,2.9.592223103,2.9.592223093,1.11.574972920,55476,,,,,32125773,2018-11-10T08:43:54,79ceee2d40a0193ba8ed44fda0fd8119f1556b19,,0,"[1,""1.7.239846305""]",9,58701,1
1.2.131183,2.9.592223030,2.9.592223028,1.11.574972848,55474,,,,,32125772,2018-11-10T08:43:51,992b380c2cdb5128e8dc3458000d41a8af605e44,,0,"[0,{}]",6,58629,4
1.2.131183,2.9.592223026,2.9.592222900,1.11.574972844,55471,,,,,32125772,2018-11-10T08:43:51,fc9201fb6d22934b61bf544e8034104046064294,,0,"[1,""1.8.94789""]",5,58625,3
1.2.131183,2.9.592223027,2.9.592223026,1.11.574972845,55472,,,,,32125772,2018-11-10T08:43:51,992b380c2cdb5128e8dc3458000d41a8af605e44,,0,"[1,""1.7.239846274""]",6,58626,1
1.2.131183,2.9.592223028,2.9.592223027,1.11.574972846,55473,,,,,32125772,2018-11-10T08:43:51,992b380c2cdb5128e8dc3458000d41a8af605e44,,0,"[0,{}]",6,58627,4
1.2.131183,2.9.592222899,2.9.592222895,1.11.574972718,55469,,,,,32125771,2018-11-10T08:43:48,305ae71b0cf638bbf3a4bae3113436e3ee507122,,0,"[1,""1.7.239846230""]",4,58499,1
1.2.131183,2.9.592222895,2.9.592222712,1.11.574972714,55468,,,,,32125771,2018-11-10T08:43:48,6d369cbe3120f76b28d9e063a36803887bbc88b1,,0,"[1,""1.8.94789""]",2,58495,3
1.2.131183,2.9.592222900,2.9.592222899,1.11.574972719,55470,,,,,32125771,2018-11-10T08:43:48,305ae71b0cf638bbf3a4bae3113436e3ee507122,,0,"[0,{}]",4,58500,4
1.2.131183,2.9.592222712,2.9.592222551,1.11.574972533,55467,,,,,32125769,2018-11-10T08:43:42,b4b26d4defd937cada39cbbef3ad2907fe7d667a,,0,"[1,""1.8.94789""]",5,58314,3
1.2.131183,2.9.592222550,2.9.592222541,1.11.574972372,55465,,,,,32125768,2018-11-10T08:43:39,aaf0a2a03ab0b007bb53f3ac9a644def2d322b19,,0,"[1,""1.7.239846115""]",5,58153,1
1.2.131183,2.9.592222551,2.9.592222550,1.11.574972373,55466,,,,,32125768,2018-11-10T08:43:39,aaf0a2a03ab0b007bb53f3ac9a644def2d322b19,,0,"[0,{}]",5,58154,4
1.2.131183,2.9.592222541,2.9.592222464,1.11.574972363,55464,,,,,32125767,2018-11-10T08:43:36,ae38ef6aa0ea312c02635425dd2922f64407664d,,0,"[1,""1.8.94789""]",49,58144,3
1.2.131183,2.9.592222462,2.9.592222461,1.11.574972288,55462,,,,,32125766,2018-11-10T08:43:33,22719e47300a3f85d1ba64431f59b7a7cb11c32e,,0,"[0,{}]",62,58069,4
1.2.131183,2.9.592222464,2.9.592222462,1.11.574972290,55463,,,,,32125766,2018-11-10T08:43:33,22719e47300a3f85d1ba64431f59b7a7cb11c32e,,0,"[0,{}]",62,58071,4
1.2.131183,2.9.592222459,2.9.592222382,1.11.574972285,55460,,,,,32125766,2018-11-10T08:43:33,968652e5b333df5be9e666065508f9e897d65aa2,,0,"[1,""1.8.94789""]",60,58066,3
1.2.131183,2.9.592222461,2.9.592222459,1.11.574972287,55461,,,,,32125766,2018-11-10T08:43:33,22719e47300a3f85d1ba64431f59b7a7cb11c32e,,0,"[1,""1.7.239846073""]",62,58068,1
1.2.131183,2.9.592222374,2.9.592222307,1.11.574972204,55457,,,,,32125765,2018-11-10T08:43:30,394995138151260f18efb44f254e3729cc42e204,,0,"[1,""1.8.94789""]",32,57985,3
1.2.131183,2.9.592222382,2.9.592222381,1.11.574972212,55459,,,,,32125765,2018-11-10T08:43:30,b8d0b2ab65fca94cf4f4679efe21a1a690cb8001,,0,"[0,{}]",37,57993,4
1.2.131183,2.9.592222381,2.9.592222374,1.11.574972211,55458,,,,,32125765,2018-11-10T08:43:30,b8d0b2ab65fca94cf4f4679efe21a1a690cb8001,,0,"[1,""1.7.239846049""]",37,57992,1
1.2.131183,2.9.592222304,2.9.592222303,1.11.574972137,55454,,,,,32125764,2018-11-10T08:43:27,ddd7eeaeffd25c9a7c04ca3d2524a560d54ac4cc,,0,"[1,""1.7.239846021""]",53,57918,1
1.2.131183,2.9.592222303,2.9.592222180,1.11.574972136,55453,,,,,32125764,2018-11-10T08:43:27,9fc747e31cf1a56269bb27746dd1172d7a49365f,,0,"[1,""1.8.94789""]",52,57917,3
1.2.131183,2.9.592222305,2.9.592222304,1.11.574972138,55455,,,,,32125764,2018-11-10T08:43:27,ddd7eeaeffd25c9a7c04ca3d2524a560d54ac4cc,,0,"[0,{}]",53,57919,4
1.2.131183,2.9.592222307,2.9.592222305,1.11.574972140,55456,,,,,32125764,2018-11-10T08:43:27,ddd7eeaeffd25c9a7c04ca3d2524a560d54ac4cc,,0,"[0,{}]",53,57921,4
1.2.131183,2.9.592222165,2.9.592222024,1.11.574972004,55447,,,,,32125763,2018-11-10T08:43:24,630cb426550d0fcd0908190944e44916b4beb2b5,,0,"[1,""1.8.94789""]",61,57785,3
1.2.131183,2.9.592222174,2.9.592222173,1.11.574972013,55449,,,,,32125763,2018-11-10T08:43:24,2d14978375f3af48e700ea4dff7342b5786e8b56,,0,"[0,{}]",67,57794,4
1.2.131183,2.9.592222176,2.9.592222174,1.11.574972015,55450,,,,,32125763,2018-11-10T08:43:24,2d14978375f3af48e700ea4dff7342b5786e8b56,,0,"[0,{}]",67,57796,4
1.2.131183,2.9.592222180,2.9.592222178,1.11.574972019,55452,,,,,32125763,2018-11-10T08:43:24,2d14978375f3af48e700ea4dff7342b5786e8b56,,0,"[0,{}]",67,57800,4
1.2.131183,2.9.592222178,2.9.592222176,1.11.574972017,55451,,,,,32125763,2018-11-10T08:43:24,2d14978375f3af48e700ea4dff7342b5786e8b56,,0,"[0,{}]",67,57798,4
1.2.131183,2.9.592222173,2.9.592222165,1.11.574972012,55448,,,,,32125763,2018-11-10T08:43:24,2d14978375f3af48e700ea4dff7342b5786e8b56,,0,"[1,""1.7.239845973""]",67,57793,1
1.2.131183,2.9.592222013,2.9.592217130,1.11.574971854,55444,,,,,32125762,2018-11-10T08:43:21,70dc4c7a2407862dc0f9decac165b0fb820eda83,,0,"[1,""1.8.94789""]",54,57635,3
1.2.131183,2.9.592222023,2.9.592222013,1.11.574971864,55445,,,,,32125762,2018-11-10T08:43:21,6f8f9561bd7ae90711593da78705952b8f852b0d,,0,"[1,""1.7.239845900""]",64,57645,1
1.2.131183,2.9.592222024,2.9.592222023,1.11.574971865,55446,,,,,32125762,2018-11-10T08:43:21,6f8f9561bd7ae90711593da78705952b8f852b0d,,0,"[0,{}]",64,57646,4
1.2.131183,2.9.592217130,2.9.592217074,1.11.574967099,55443,,,,,32125704,2018-11-10T08:40:27,0c140489f34b6c0dd98cf6b908f31637c70780a9,,0,"[1,""1.8.94789""]",21,52880,3
1.2.131183,2.9.592217074,2.9.592217073,1.11.574967043,55442,,,,,32125703,2018-11-10T08:40:24,cef00ba4a323ed8b113879d10a28c20621afcc99,,0,"[0,{}]",38,52824,4
1.2.131183,2.9.592217061,2.9.592216997,1.11.574967030,55440,,,,,32125703,2018-11-10T08:40:24,8b02fbe315c16c54b18c4b13d94e302cf4f07a50,,0,"[1,""1.8.94789""]",26,52811,3
1.2.131183,2.9.592217073,2.9.592217061,1.11.574967042,55441,,,,,32125703,2018-11-10T08:40:24,cef00ba4a323ed8b113879d10a28c20621afcc99,,0,"[1,""1.7.239843970""]",38,52823,1
1.2.131183,2.9.592216939,2.9.592216938,1.11.574966909,55436,,,,,32125702,2018-11-10T08:40:21,c3eb293e705148a96511215773296a689f787a51,,0,"[0,{}]",0,52690,4
1.2.131183,2.9.592216994,2.9.592216939,1.11.574966964,55437,,,,,32125702,2018-11-10T08:40:21,4fbd87fa76f50c03175f6cebe772e98396fdd0a7,,0,"[1,""1.8.94789""]",37,52745,3
1.2.131183,2.9.592216938,2.9.592216898,1.11.574966908,55435,,,,,32125702,2018-11-10T08:40:21,c3eb293e705148a96511215773296a689f787a51,,0,"[1,""1.7.239843900""]",0,52689,1
1.2.131183,2.9.592216997,2.9.592216996,1.11.574966967,55439,,,,,32125702,2018-11-10T08:40:21,cfd00341ad7b6bf376509cd2c38b9af8c49dd0a2,,0,"[0,{}]",39,52748,4
1.2.131183,2.9.592216996,2.9.592216994,1.11.574966966,55438,,,,,32125702,2018-11-10T08:40:21,cfd00341ad7b6bf376509cd2c38b9af8c49dd0a2,,0,"[1,""1.7.239843931""]",39,52747,1
1.2.131183,2.9.592216898,2.9.592212391,1.11.574966869,55434,,,,,32125701,2018-11-10T08:40:18,03bcdc331689fbb6e157603df0f089968781de3a,,0,"[1,""1.8.94789""]",37,52650,3
1.2.131183,2.9.592212391,2.9.592212323,1.11.574962407,55433,,,,,32125636,2018-11-10T08:37:03,d03c2583f8fd908df4a7f8d805910901f1cd883c,,0,"[1,""1.8.94789""]",20,48188,3
1.2.131183,2.9.592212318,2.9.592212265,1.11.574962334,55430,,,,,32125635,2018-11-10T08:37:00,d2790e1af4f7daa6e2f42cf166cce70da07fc915,,0,"[1,""1.8.94789""]",12,48115,3
1.2.131183,2.9.592212322,2.9.592212318,1.11.574962338,55431,,,,,32125635,2018-11-10T08:37:00,d0cc276fc1b2b247d0e6eb5e50768eac91588bac,,0,"[1,""1.7.239841915""]",16,48119,1
1.2.131183,2.9.592212323,2.9.592212322,1.11.574962339,55432,,,,,32125635,2018-11-10T08:37:00,d0cc276fc1b2b247d0e6eb5e50768eac91588bac,,0,"[0,{}]",16,48120,4
1.2.131183,2.9.592212265,2.9.592212264,1.11.574962282,55429,,,,,32125634,2018-11-10T08:36:57,2db41c1e2c2e9dde40977f191f65eba856d1aa8e,,0,"[0,{}]",26,48063,4
1.2.131183,2.9.592212259,2.9.592212182,1.11.574962276,55427,,,,,32125634,2018-11-10T08:36:57,25080ec211a4696033eb748c831296b79579f2d1,,0,"[1,""1.8.94789""]",21,48057,3
1.2.131183,2.9.592212264,2.9.592212259,1.11.574962281,55428,,,,,32125634,2018-11-10T08:36:57,2db41c1e2c2e9dde40977f191f65eba856d1aa8e,,0,"[1,""1.7.239841884""]",26,48062,1
1.2.131183,2.9.592212182,2.9.592212181,1.11.574962201,55426,,,,,32125633,2018-11-10T08:36:54,bf5da7c54b5ef7f8a4cd1f505f4dd446e443b495,,0,"[0,{}]",13,47982,4
1.2.131183,2.9.592212159,2.9.592212114,1.11.574962179,55422,,,,,32125633,2018-11-10T08:36:54,bffdd89679dd3bc2a3b938ac456d8e081c55d31c,,0,"[1,""1.7.239841842""]",0,47960,1
1.2.131183,2.9.592212180,2.9.592212160,1.11.574962199,55424,,,,,32125633,2018-11-10T08:36:54,3b041e39caedb5803e47b8a3e2353861ce44e9cf,,0,"[1,""1.8.94789""]",12,47980,3
1.2.131183,2.9.592212181,2.9.592212180,1.11.574962200,55425,,,,,32125633,2018-11-10T08:36:54,bf5da7c54b5ef7f8a4cd1f505f4dd446e443b495,,0,"[1,""1.7.239841853""]",13,47981,1
1.2.131183,2.9.592212160,2.9.592212159,1.11.574962180,55423,,,,,32125633,2018-11-10T08:36:54,bffdd89679dd3bc2a3b938ac456d8e081c55d31c,,0,"[0,{}]",0,47961,4
1.2.131183,2.9.592212114,2.9.592212015,1.11.574962135,55421,,,,,32125632,2018-11-10T08:36:51,f339cba9c52e282a5337c7ba758afa80ff88c0a0,,0,"[1,""1.8.94789""]",21,47916,3
1.2.131183,2.9.592212014,2.9.592212001,1.11.574962035,55419,,,,,32125631,2018-11-10T08:36:48,b68d163e40546228959bed76b38f3d10d1c6b6d0,,0,"[1,""1.7.239841787""]",14,47816,1
1.2.131183,2.9.592212001,2.9.592211892,1.11.574962022,55418,,,,,32125631,2018-11-10T08:36:48,2c44475b82c98f3b36c8fa996648e9c0037f22b6,,0,"[1,""1.8.94789""]",6,47803,3
1.2.131183,2.9.592212015,2.9.592212014,1.11.574962036,55420,,,,,32125631,2018-11-10T08:36:48,b68d163e40546228959bed76b38f3d10d1c6b6d0,,0,"[0,{}]",14,47817,4
1.2.131183,2.9.592211892,2.9.592211846,1.11.574961914,55417,,,,,32125629,2018-11-10T08:36:42,78a05fc431fe4f6af8464c8df3c8b4c4b7ee5397,,0,"[1,""1.8.94789""]",4,47695,3
