"Account History - Account","Account History - ID","Account History - Next","Account History - Operation ID","Account History - Sequence","Additional Data - Fee Data - Amount","Additional Data - Fee Data -Asset","Additional Data - Transfer Data - Amount","Additional Data - Transfer Data - Asset","Block Data - Block Number","Block Data - Block Time","Block Data - Transaction ID","Operation History - Raw Operation","Operation History - Operation in Transaction","Operation History - Operation Result","Operation History - Transaction in Block","Operation Data - Virtual Operation","Operation Type"
1.2.131183,2.9.630153617,2.9.630153616,1.11.612338346,57725,,,,,32635546,2018-11-28T07:44:30,21adadeb4ab3e340bcaff348ebb1a7f3236bfa0e,,0,"[0,{}]",44,35450,4
1.2.131183,2.9.630153616,2.9.630153342,1.11.612338345,57724,,,,,32635546,2018-11-28T07:44:30,21adadeb4ab3e340bcaff348ebb1a7f3236bfa0e,,0,"[1,""1.7.255692571""]",44,35449,1
1.2.131183,2.9.630153342,2.9.630152791,1.11.612338072,57723,,,,,32635543,2018-11-28T07:44:21,5fed14dd6f1480ff01f393f6727b6eb926caca34,,0,"[1,""1.8.94789""]",40,34504,3
1.2.131183,2.9.630152791,2.9.630152674,1.11.612337526,57722,,,,,32635532,2018-11-28T07:43:48,b3dd25e4530dd1137a6f7a63de21aa12b5b30437,,0,"[1,""1.8.94789""]",22,33382,3
1.2.131183,2.9.630152673,2.9.630152475,1.11.612337408,57720,,,,,32635529,2018-11-28T07:43:39,266dcb8f428c1129e00ac0ff07934b12c14e567f,,0,"[1,""1.7.255692181""]",9,33151,1
1.2.131183,2.9.630152674,2.9.630152673,1.11.612337409,57721,,,,,32635529,2018-11-28T07:43:39,266dcb8f428c1129e00ac0ff07934b12c14e567f,,0,"[0,{}]",9,33152,4
1.2.131183,2.9.630152475,2.9.630150485,1.11.612337212,57719,,,,,32635525,2018-11-28T07:43:27,1ff678e02cca138cea328b4160c928c58d7afbfb,,0,"[1,""1.8.94789""]",13,32787,3
1.2.131183,2.9.630150485,2.9.630150178,1.11.612335232,57718,,,,,32635480,2018-11-28T07:41:12,93dd68ac6dfefb7bfe47ba3d175ce030d40c586a,,0,"[1,""1.8.94789""]",20,28302,3
1.2.131183,2.9.630150178,2.9.630150177,1.11.612334934,57717,,,,,32635474,2018-11-28T07:40:54,c7ecc87d389edd0df90a02b34a606d950059c2c2,,0,"[0,{}]",5,27704,4
1.2.131183,2.9.630150177,2.9.630150008,1.11.612334933,57716,,,,,32635474,2018-11-28T07:40:54,c7ecc87d389edd0df90a02b34a606d950059c2c2,,0,"[1,""1.7.255691112""]",5,27703,1
1.2.131183,2.9.630150008,2.9.630146250,1.11.612334765,57715,,,,,32635471,2018-11-28T07:40:45,adae6267edac79fcbda4a05ffaece18d3315d4ff,,0,"[1,""1.8.94789""]",1,27334,3
1.2.131183,2.9.630146250,2.9.630146060,1.11.612331082,57714,,,,,32635390,2018-11-28T07:36:42,9627074c6f0a1354f9b6ba7b1d8b1c45a22f179f,,0,"[1,""1.8.94789""]",26,19420,3
1.2.131183,2.9.630146060,2.9.630146059,1.11.612330896,57713,,,,,32635386,2018-11-28T07:36:30,00da61d628f9bbea0701d1386ce797a2c28c3008,,0,"[0,{}]",19,19029,4
1.2.131183,2.9.630146059,2.9.630145770,1.11.612330895,57712,,,,,32635386,2018-11-28T07:36:30,00da61d628f9bbea0701d1386ce797a2c28c3008,,0,"[1,""1.7.255689488""]",19,19028,1
1.2.131183,2.9.630145770,2.9.630145535,1.11.612330613,57711,,,,,32635381,2018-11-28T07:36:15,0330d1e5659ea835bc079e90f747d46e7e1efd6c,,0,"[1,""1.8.94789""]",8,18345,3
1.2.131183,2.9.630145532,2.9.630145346,1.11.612330382,57708,,,,,32635376,2018-11-28T07:36:00,1e571eb010eadd6ef88dbc4f80a22b5348dab869,,0,"[1,""1.7.255689281""]",17,17781,1
1.2.131183,2.9.630145533,2.9.630145532,1.11.612330383,57709,,,,,32635376,2018-11-28T07:36:00,1e571eb010eadd6ef88dbc4f80a22b5348dab869,,0,"[0,{}]",17,17782,4
1.2.131183,2.9.630145535,2.9.630145533,1.11.612330385,57710,,,,,32635376,2018-11-28T07:36:00,1e571eb010eadd6ef88dbc4f80a22b5348dab869,,0,"[0,{}]",17,17784,4
1.2.131183,2.9.630145346,2.9.630145068,1.11.612330196,57707,,,,,32635372,2018-11-28T07:35:48,2c976b463f92557875f9d838f43b28fc18f1d75e,,0,"[1,""1.8.94789""]",16,17374,3
1.2.131183,2.9.630145067,2.9.630144823,1.11.612329929,57705,,,,,32635367,2018-11-28T07:35:33,3ab415a57fd52004ac54406311f5cf1077196168,,0,"[1,""1.7.255689105""]",17,16804,1
1.2.131183,2.9.630145068,2.9.630145067,1.11.612329930,57706,,,,,32635367,2018-11-28T07:35:33,3ab415a57fd52004ac54406311f5cf1077196168,,0,"[0,{}]",17,16805,4
1.2.131183,2.9.630144823,2.9.630115031,1.11.612329697,57704,,,,,32635363,2018-11-28T07:35:21,d3335432f98c7777071e2fd788472400b85f81b0,,0,"[1,""1.8.94789""]",17,16272,3
1.2.131183,2.9.630115031,2.9.630114859,1.11.612300495,57703,,,,,32634738,2018-11-28T07:04:06,90fe754620a611c9748734a905e82af306bb609d,,0,"[1,""1.8.94789""]",51,18774,3
1.2.131183,2.9.630114859,2.9.630114858,1.11.612300325,57702,,,,,32634734,2018-11-28T07:03:54,ce62945d2d0260a87ffdd3e16032f3cf64e7f8d8,,0,"[0,{}]",11,18424,4
1.2.131183,2.9.630114858,2.9.630114588,1.11.612300324,57701,,,,,32634734,2018-11-28T07:03:54,ce62945d2d0260a87ffdd3e16032f3cf64e7f8d8,,0,"[1,""1.7.255677038""]",11,18423,1
